memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
32768 MiB, 2964 MiB, 28 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 52 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 4 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3020 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 2964 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 2732 MiB, 34 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 4 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3022 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 2964 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 2964 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 2288 MiB, 30 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3254 MiB, 26 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 3192 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 2964 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 2964 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3384 MiB, 2 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 3372 MiB, 2 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3410 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 3470 MiB, 4 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3490 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 3692 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 3856 MiB, 14 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 4078 MiB, 15 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 3384 MiB, 5 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 4444 MiB, 10 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 4902 MiB, 10 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 3806 MiB, 9 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3232 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5020 MiB, 3 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5128 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 4664 MiB, 21 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 3846 MiB, 23 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5176 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5128 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5128 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5128 MiB, 1 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 75 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 49 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 57 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 59 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 64 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 30 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 46 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 50 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 63 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 49 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 45 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 49 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 69 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 62 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 64 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 67 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 62 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 38 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 49 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 50 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
