memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], utilization.memory [%], temperature.gpu, power.draw [W], power.limit [W], name, pci.bus_id, compute_mode, fan.speed [%], pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], uuid
32768 MiB, 946 MiB, 31564 MiB, 0 %, 0 %, 35, 33.91 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 952 MiB, 31558 MiB, 0 %, 0 %, 35, 33.91 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 972 MiB, 31538 MiB, 0 %, 0 %, 35, 33.95 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1228 MiB, 31282 MiB, 3 %, 0 %, 35, 34.18 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 66 %, 25 %, 37, 103.85 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1357 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 0 %, 0 %, 36, 37.73 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1357 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 0 %, 0 %, 36, 37.79 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1357 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 0 %, 0 %, 36, 33.94 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 0 %, 0 %, 36, 33.96 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
32768 MiB, 1892 MiB, 30618 MiB, 0 %, 0 %, 36, 34.19 W, 250.00 W, Tesla V100-PCIE-32GB, 00000000:2F:00.0, Default, [N/A], P0, 1230 MHz, 877 MHz, GPU-f45b8337-ad0b-df75-45ff-82b034f68fe3
