memory.total [MiB], memory.used [MiB], utilization.gpu [%], name, pci.bus_id
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 43 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 32 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 34 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 63 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 68 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 44 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 54 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 64 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 62 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 44 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 55 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 64 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
32768 MiB, 5680 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:06:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:2F:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:86:00.0
32768 MiB, 5584 MiB, 0 %, Tesla V100-PCIE-32GB, 00000000:D8:00.0
